ciudad,seccion,titulo,url,contenido,fecha_inicio,fecha_fin,fechas,Precios,fechas_contexto
madrid,ocio,"Bombastik Madrid: el juego más emocionante con seis salas, mil emociones y un final de colores",https://quehacerconlosninos.es/bombastik-madrid-experiencia-retos-ninos-familias/,"Si buscas un plan original, activo y muy divertido,Bombastik Madrides una experiencia que no deja indiferente a nadie. Esta aventura de retos físicos y mentales está diseñada para vivir en grupo, perfecta para familias con niños algo mayores, que disfruten superando desafíos y riendo a carcajadas juntos. Un planazo para cuando no sabes qué hacer y te preguntas qué tipo de planes con niños en Madrid pueden sorprender de verdad. Bombastik no es un escape room, ni un parque de bolas, ni un gymkhana. Es todo eso… y mucho más. Se trata de un recorrido porseis salas inmersivas, cada una con una misión distinta, donde los participantes tienen que superar pruebas que mezclanhabilidad, lógica, reflejos, coordinación y trabajo en equipo. Y no es solo un juego: es unaaventura con identidad propia. Se juega en grupo (de 2 a 6 personas por pase), se entra vestido con unmono blanco que te dan allí, y la experiencia finaliza con un momento inolvidable:una explosión de pintura de coloresque salpica al equipo en una especie de final épico lleno de alegría y fotos memorables. Cada sala de Bombastik es distinta, y el orden cambia en cada visita para que no sepas lo que viene. Algunas de las pruebas más destacadas son: Una prueba dememoria y coordinacióncon luces y colores. El equipo tendrá que pisar en el orden correcto mientras el tiempo corre. Si te equivocas… el círculo se reinicia. Una carrera contrarreloj parapisar las luces correctasantes de que se apaguen. Exige reflejos, agilidad y estrategia en grupo. Como en una película de espías: atraviesa una sala llena derayos láser sin tocarlos. Aquí los más mayores suelen hacerlo mejor, pero a los peques les encanta intentar imitar a sus héroes del cine. Un reto de puntería y lanzamiento de pelotas contra dianas móviles. Parece fácil… hasta que los objetivos empiezan a moverse más rápido. Aquí el equipo tiene que activar botones en secuencia,saltando obstáculos, mientras cae una lluvia de luces. El juego ideal para los más competitivos. Cuando superas todos los retos… te espera una sorpresa: unaexplosión de pintura de coloresque salpica al grupo por completo (¡y queda genial en las fotos!). El momento más esperado y el que da nombre a Bombastik. Bombastik está recomendado para niños a partir de 1,30 m de altura, lo que suele corresponder a unos 8 o 9 años, dependiendo del caso. No hay sustos, ni zonas oscuras, ni elementos peligrosos: todo está pensado para pasarlo bien en equipo, ya sea con la familia o con amigos. Para grupos de colegio la edad mínima son 12 años. Ideal para: Dentro del mismo recinto, Bombastik cuenta con elSpoiler Bar, una cafetería con bebidas y picoteo donde los grupos pueden comentar la experiencia, revisar las fotos o simplemente reponer fuerzas. Sigue el canal deQue Hacer con los Niños en WhatsApp.",,,"(None, None)",No especificado,
madrid,ocio,Novedades en los parques infantiles del Retiro 2025: zonas y planes,https://quehacerconlosninos.es/parques-infantiles-retiro/,"ElParque del Retiroes uno de los destinos favoritos de las familias en Madrid, ideal para disfrutar con los más pequeños al aire libre. Si buscasparques infantiles en Retiro, este emblemático espacio verde ofrece zonas de juegos, actividades al aire libre y eventos pensados para niños de todas las edades. Desde columpios hasta paseos en barca, aquí te contamos cómo aprovechar un día completo en el Retiro con tus hijos. ¡Un plan sencillo, gratuito y muy divertido! El parque cuenta con varias áreas especialmente diseñadas para niños, combinandodiversión y seguridad. Estas son las principales zonas de juegos infantiles que no puedes perderte: Junto al Gran Estanque, esta área deparques infantiles en el Retiroes perfecta para niños de 3 a 10 años. Tiene columpios, toboganes y estructuras de escalada, con suelos acolchados para mayor seguridad. Actualmente, los juegos incluyen elementos inclusivos para niños con movilidad reducida, lo que la hace ideal para todas las familias. Lasombra de los árbolesla convierte en un lugar fresco incluso en días calurosos, y los bancos cercanos permiten a los padres relajarse. No te pierdas los helados de los vendedores cercanos, ¡un capricho perfecto! Llega temprano los fines de semana para evitar aglomeraciones. Si quieres más parques infantiles, descubre los de Malasaña en nuestro artículo sobre Parques Infantiles en Malasaña.  La antiguaCasa de Fierases ahora un rincón encantador con un pequeño parque infantil. Sus columpios y balancines están pensados para niños de 2 a 8 años, y el entorno dejardines históricoscrea un ambiente muy especial. Esta zona también acogecuentacuentos y talleres al aire libre, sobre todo durante las ferias municipales de primavera. Al ser menos concurrida que la zona del Estanque, es perfecta para quienes buscan un plan tranquilo.Lleva una manta y prepara un picnicbajo los árboles: ¡planazo asegurado! Además de losparques infantiles en el Retiro, este espacio ofrece actividades familiares que hacen cada visita especial. Aquí tienes las más destacadas: Las barcas están disponibles todos los días de 10:00 a 20:00. Cuestan 6 € entre semana y 8 € los fines de semana y festivos. Los mayores de 65 años pagan solo 1,80 €de lunes a viernes no festivos hasta las 14:00 (con acreditación). La entrada incluye 45 minutos por barca para 4 personas. También puedes subir albarco solar por 2 €(gratis para menores de 4 años). Los niños deben ir acompañados por un adulto El alquiler incluyechalecos salvavidas, y hay opciones accesibles para familias con bebés. Es recomendablereservar con antelación los fines de semanapara evitar colas. Después del paseo, puedes acercarte a la zona de juegos más cercana y seguir disfrutando del día.  El Retiro acoge actividades gratuitas organizadas por el ayuntamiento, comocuentacuentos y talleres de manualidades, que suelen celebrarse los fines de semana cerca del Palacio de Cristal o la Casa de Fieras. Estas propuestas, pensadas para niños de 3 a 12 años, combinan juego y aprendizaje con temáticas relacionadas con lanaturaleza, el arte o la lectura. En conveniente consultar elcalendario del ayuntamientopara no perder detalle.  El Retirosuele acoger eventos familiares algunos fines de semana, con juegos, talleres, espectáculos al aire libre e hinchables para los más pequeños. Estas actividades, organizadas por el ayuntamiento, son gratuitas y pensadas para todas las edades. Vale la pena revisar laprogramación culturalpara no perderse ninguna propuesta divertida. ElParque del Retiroes un lugar mágico para familias, conparques infantilescomo los columpios del Estanque y la Casa de Fieras, además de paseos en barca y eventos especiales. ¡Un plan perfecto para cualquier día en 2025! Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.    ",,,"(None, None)",Gratis,
madrid,ocio,Faro de Moncloa: una aventura familiar con vistas panorámicas,https://quehacerconlosninos.es/faro-de-moncloa/,"Si buscas una experiencia única para disfrutar en familia en Madrid, el Faro de Moncloa es una opción que combinahistoria, arquitectura y vistasimpresionantes. Situado en la Plaza de Moncloa, este emblemático mirador ofrece una perspectiva inigualable de la capital española. Diseñado por el arquitecto Salvador Pérez Arroyo, el Faro de Moncloa fue construido en 1992 como torre de iluminación y comunicaciones. Con una altura de 110 metros, su plataforma de observación se encuentra a 92 metros, accesible mediante ascensores panorámicos que brindan una experiencia emocionante desde el inicio del ascenso. El Faro de Moncloa es perfecto para una salida en familia. Los niños disfrutarán del viaje en ascensor con vistas panorámicas, y una vez en la cima, podrán identificar monumentos y edificios emblemáticos de Madrid, como el Palacio Real, la Catedral de la Almudena y las Cuatro Torres. Es una oportunidad educativa y divertida para que los más pequeños conozcan la ciudad desde las alturas. El mirador está abierto al público de martes a domingo, de 9:30 a 20:00, con la última subida permitida a las 19:30. Es recomendable adquirir las entradas con antelación, especialmente durante fines de semana y festivos, para evitar esperas. Tras un periodo de cierre en 2005 debido a nuevas normativas de seguridad, el Faro de Moncloa reabrió sus puertas en 2015 después de una renovación integral que incluyó la instalación de un segundo ascensor y mejoras en las escaleras de emergencia. Estas actualizaciones garantizan una visita segura y cómoda para todos los visitantes. Ubicado en la Plaza de Moncloa, el Faro es fácilmente accesible mediante transporte público. La estación de metro Moncloa (líneas 3 y 6) y varias líneas de autobús conectan directamente con esta zona, facilitando el acceso desde distintos puntos de la ciudad. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real. ",,,"(None, None)",No especificado,
madrid,ocio,Programa completo San Isidro 2025 en Madrid,https://quehacerconlosninos.es/programa-completo-san-isidro-2025-en-madrid/,"Madrid ya calienta motores para celebrar una de sus citas más emblemáticas:las Fiestas de San Isidro 2025, que tendrán lugar del 3 al 15 de mayo, en honor al patrón de la ciudad. Un año más, la capital se llena de música, tradición, gastronomía, arte y devoción en un programación repleta de actividades pensadas para todos los públicos. El epicentro de la fiesta volverá a serla Pradera de San Isidro, donde se celebrará la tradicional romería, conmadrileños y visitantes vestidos de chulapos y chulapasdisfrutando de las rosquillas, la limonada y los bailes al aire libre. El ambiente más castizo de Madrid estará también presente en las verbenas populares deLavapiés, Carabanchel, Vicálvaro o Arganzuela, donde no faltarán las orquestas, los trajes típicos y los concursos de mantones y chotis. Lasactividades infantiles y familiarestendrán un lugar muy destacado en esta edición: Elcartel musicalpromete ser uno de los grandes atractivos del programa completo San Isidro 2025. Elescenario principal de Matadero Madridacogerá conciertos gratuitos de artistas nacionales e internacionales. También habrá programación musical enPlaza Mayor, Las Vistillas y Madrid Río, con estilos que van desde el flamenco y la copla, hasta el pop, el indie y la electrónica. La música clásica y el jazz tendrán su lugar en espacios como elTemplo de Debody elParque del Retiro. 11 de mayo 19:30 – Antonio Orozco 20:30 – David DeMaría 22:00 – Merche 14 de mayo 21:30 – Banda Sinfónica Municipal de Madrid 15 de mayo 19:00 – Los Brincos 20:00 – María Toledo 21:30 – La Orquesta Mondragón/Los Carmona 9 de mayo 22:00 – Nusar 3000 11 de mayo 21:00 – Soleá Morente 15 de mayo 20:00 – Olga María Ramos 21:30 – Mari Pepa de Chamberí 15 de mayo 22:00 – Zarzuela Monumental Además, en diferentes salas de conciertos de la ciudad tendrá lugar el cicloSonido Madrid en Vivo 25, con más de 20 actuaciones de grupos emergentes. Más allá de los conciertos, las fiestas contarán con una amplia programación cultural: teatro al aire libre, pasacalles, espectáculos de danza, talleres ycine en distintos distritos. También habrá rutas guiadas gratuitas para descubrir la historia del santo, exposiciones temáticas en museos municipales y propuestas participativas en mercados, centros culturales y espacios abiertos comoel Jardín de las Delicias o el Museo de San Isidro, que abrirá de forma extraordinaria el 15 de mayo. El aspecto religioso sigue siendo un pilar importante de las fiestas. Eldía 15 de mayo, festividad de San Isidro Labrador, tendrá lugar la tradicional misa en la colegiata de San Isidro y la posterior procesión con la imagen del santo. Miles de personas acuden cada año ala ermita de San Isidropara beber el agua del manantial bendecido, considerado milagroso por muchos devotos. Además de los conciertos y verbenas,los mayores disfrutarán con espectáculos como el musical de La Húngara, el homenaje a la zarzuela o las actuaciones de Gipsy Power Band. Para los más gourmets, la ciudad ofreceráuna ruta gastronómica de San Isidro, catas castizas en mercados, reparto de rosquillas y claveles, la Feria de la Cacharrería y hasta una ruta de coctelerías con propuestas exclusivas inspiradas en Madrid. Como es habitual,la Feria de San Isidro en Las Ventascomplementará las fiestas con un cartel taurino de alto nivel. Del 9 de mayo al 15 de junio, se celebrarán 28 festejos taurinos, entre los que se incluyen 23 corridas de toros,dos espectáculos de rejoneoytres novilladas. Entre los nombres destacados figuranPaco Ureña, Miguel Ángel Perera, Emilio de Justo, Tomás Rufo, Fernando Adrián y Borja Jiménez, todos con tres tardes cada uno. Como broche final, el 15 de mayo a las 23:59 horas, se celebrará el tradicionalcastillo de fuegos artificialesen la Pradera de San Isidro, un espectáculo que iluminará el cielo madrileño y pondrá el punto final a las fiestas. Con todo ello, las Fiestas de San Isidro 2025 prometen convertir Madrid en un gran escenario de celebración, donde tradición y modernidad se dan la mano. Ya sea para revivir las costumbres más castizas, disfrutar de conciertos al aire libre o compartir en familia momentos únicos, la ciudad invita a todos a sumarse a esta gran fiesta popular. San Isidro no es solo una cita en el calendario: es una forma de sentir Madrid. Sigue el canal deQue Hacer con los Niños en WhatsApp.",15 de mayo,11 de mayo,"('15 de mayo', '11 de mayo')",No especificado,"{'fecha_normalizada': '2025-05-15', 'dia_semana': 'Thursday', 'mes': 'May', 'año': 2025, 'es_este_mes': True, 'es_este_fin_de_semana': False}"
madrid,ocio,"Urban Invaders, el juego del suelo es lava… ¡con luces, retos y mucha acción!",https://quehacerconlosninos.es/urban-invaders-juego-suelo-lava-madrid-ninos/,"¿Quién no ha jugado alguna vez a ‘el suelo es lava’? Urban Invaders: el juego del suelo es lava, transforma ese clásico infantil en unaexperiencia tecnológica únicaque combina luces, pantallas, botones y mucha adrenalina. Ubicado en pleno Madrid, este plan se ha convertido en uno de los favoritos para familias que buscanqué hacer con niños en Madridmezclando diversión, movimiento y trabajo en equipo. Urban Invaders es unjuego interactivo de suelo LED, donde cada baldosa reacciona al movimiento y al contacto. La misión parece sencilla:no tocar las baldosas equivocadas, esquivar las trampas, pisar los puntos correctos… ¡y avanzar de nivel! Pero en cuanto empieza la partida, los nervios, las risas y el caos controlado se apoderan del equipo. Con más de 600 baldosas luminosas, efectos visuales, niveles progresivos y retos contrarreloj, esta experiencia transforma un juego tradicional en un plan rompedor que engancha por igual a peques, adolescentes y adultos. La dinámica es muy sencilla: Urban Invaders, el juego del suelo es lava, está pensado para niños a partir de 3 años, aunque los menores de 6 deben estar acompañados por un adulto dentro de la sala. No hay sustos ni violencia, y la dificultad se adapta, así que es una opción excelente tanto para familias con niños pequeños como para quienes buscan un plan activo con preadolescentes o adolescentes. El espacio también está preparado para organizar: Urban Invaders permiterotar a los jugadoresen minijuegos, cuenta con unasala de espera cómoda para hasta 14 personasy tiene todo lo necesario para convertir un cumple en un recuerdo inolvidable. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,,"(None, None)",No especificado,
madrid,ocio,Safari Madrid: un viaje salvaje desde tu coche,https://quehacerconlosninos.es/safari-madrid-animales-naturaleza-aventura-ninos/,"ElSafari de Madrides uno de los destinos favoritos para las familias que buscan una experiencia diferente sin salir de la Comunidad deMadrid. Situado en Aldea del Fresno, este parque permite ver animales salvajes en semilibertad desde el coche, acercando a grandes y a pequeños al mundo de la naturaleza de forma segura, divertida y educativa. Una gran opción si no sabesqué hacer con niñoseste fin de semana. La propuesta de Safari Madrid va mucho más allá de una simple visita a un zoo. Aquí, el recorrido principal se hace envehículo propio, lo que permite observar de cercajirafas, cebras, rinocerontes, camellos, avestruces e incluso leonesen un entorno que simula su hábitat natural.Los niños alucinanal ver cómo algunos animales se acercan al coche, y muchos disfrutan especialmente dando de comer zanahorias a los más sociables. Después del recorrido en coche, las familias pueden seguir explorando a pie diferentes zonas temáticas: Un espacio ideal para los más pequeños, donde pueden interactuar conanimales domésticos como cabras, ovejas o burros. Aquí aprenden a respetar, tocar y cuidar con cariño. En elreptilariose encuentranserpientes, tortugas, lagartosy otros animales fascinantes que despiertan la curiosidad infantil. Elaviario, por su parte, es un paseo entreaves coloridas y exóticasque sorprenden a cada paso. En temporada alta, Safari Madrid organizaexhibiciones y charlascon aves rapaces o mamíferos. Se trata de actividades didácticas, amenas y con un mensaje claro sobre la conservación animal. Safari Madrid está pensado para pasar un día completo. Entre sus instalaciones, las familias encontrarán: Todo está diseñado para facilitar la visita en familia y hacerla lo más cómoda posible. Los horarios del parque pueden variar ligeramente según la temporada. Sin embargo, lo habitual es: Horarios habituales: Entradas generales: Los menores de 3 años no pagan entrada. Safari Madrid está en laCarretera Navalcarnero-Cadalso de los Vidrios, km 22, en Aldea del Fresno. Desde Madrid capital, se puede llegar en unos 50 minutos en cochepor la A-5, tomando la salida 32 y siguiendo por la M-507. Además, el parque cuenta conparking gratuito. Otrasentradas para conocer más parques de animales. Sigue el canal deQue Hacer con los Niños en WhatsApp. ",,,"(None, None)",No especificado,
madrid,ocio,Cuándo abren las piscinas en Madrid en 2025: el verano llega más tarde que nunca,https://quehacerconlosninos.es/apertura-piscinas-madrid-2025/,"Con los días grises y las lluvias que no dan tregua, muchos se preguntan yacuándo abren las piscinas en Madrid en 2025. Las mochilas de piscina empiezan a asomar por casa, los bañadores vuelven al primer cajón y en más de una conversación salta la gran pregunta:¿cuándo abren las piscinas en Madrid en 2025?Porque sí, el sol acabará saliendo… pero este año se está haciendo de rogar. En temporadas anteriores, como la de 2023 y 2024, las piscinas municipales de verano solían abrira mediados de mayo, coincidiendo con las fiestas de San Isidro. Pero este 2025 el panorama pinta distinto, pues las temperaturas inestables, las lluvias persistentes y las previsiones poco optimistas podrían forzar unretraso en la apertura. En 2024, por ejemplo, el inicio oficial fue el 15 de mayo, y el cierre, el 8 de septiembre. Todo apunta a que en 2025 tendremos que esperar un poco más…¿finales de mayo? ¿principios de junio?Aún no hay respuesta oficial, pero el clima manda. A falta de confirmación oficial, es importante conocer cómo funcionaron las piscinas el año pasado: Las piscinas municipales funcionaron con tres turnos: Los turnos se reservaban desde 48 horas antes, a través delportal de deportes del Ayuntamientoo la app Madrid Móvil. Estas fueron las tarifas aplicadas el año pasado en las instalaciones municipales: Es importante conocer cuando abren las piscinas en Madrid en 2025 porque cuando llegan los primeros rayos de sol, las familias madrileñas lo tienen claro:toca ir a la piscina. Para muchos, es el plan perfecto si no sabesqué hacer con los niñosen la ciudad: barato, al aire libre, refrescante y con espacio para jugar y relajarse. Aunque el Ayuntamiento aún no ha publicado una fecha oficial, los madrileños más previsores ya están sacando la toalla del armario… por si acaso. Porque sí: las ganas de verano ya están aquí, peroel buen tiempo no ha llegado aún. Por ahora, solo quedaesperar la fecha oficial, que se anunciará en los próximos días desde el Ayuntamiento de Madrid y que actualizaremos en nuestra webQué Hacer con los Niños. Mientras tanto, toca estar atentos… y cruzar los dedos para que el sol salga cuanto antes. Sigue el canal deQue Hacer con los Niños en WhatsApp.",15 de mayo,8 de septiembre,"('15 de mayo', '8 de septiembre')",No especificado,"{'fecha_normalizada': '2025-05-15', 'dia_semana': 'Thursday', 'mes': 'May', 'año': 2025, 'es_este_mes': True, 'es_este_fin_de_semana': False}"
madrid,ocio,Caixabank Madrid live experience 2025: música para todas las edades,https://quehacerconlosninos.es/caixabank-madrid-live-experience-2025/,"ElCaixaBank Madrid Live Experience 2025 ya calienta motores con una propuesta diversa y para todos los públicos. En su quinta edición, el festival vuelve a apostar por el mestizaje de estilos y generaciones, desde lo mejor del indie-pop hasta el flamenco, la canción de autor y propuestasfamiliares como Pica-Pica y Fetén Fetén. Si estás buscandoplanes con niños en Madrid, este festival será una de las citas imprescindibles del año. Ubicado en elGran Teatro CaixaBank Príncipe Pío, Cuesta de San Vicente, 44, 28008, Madrid. Pensando en los más pequeños (y sus familias), el festival vuelve a apostar por experiencias culturales diferentes como la deFetén Fetén, que ofreceráEl mágico planeta de los instrumentos insólitos, un espectáculo participativo que combina música, imaginación y educación. Además,Pica-Pica, el trío infantil más querido por los peques, repetirá actuación tras el éxito de años anteriores. Con sus coreografías, humor y canciones pegadizas, garantizan una experienciadivertida, segura y familiardentro de un gran festival urbano. Uno de los grandes nombres del indie internacional,Crystal Fighters, encabeza el cartel con su potente directo y su nuevo trabajoLIGHT+, una explosión de pop británico, folk y electrónica que promete hacer vibrar al público madrileño. Por su parte,Las Migas, recientemente nominadas alLatin Grammy, presentaránFlamencas, un viaje a las raíces del flamenco con una mirada actual, emocional y profundamente femenina. El grupoMarlon, en plena gira de su álbumQue se caiga el cielo, también se suma a la programación con su estilo cercano, directo y lleno de energía juvenil. Uno de los encuentros más esperados de esta edición será el dePedro Guerra y Javier Ruibal, que compartirán escenario en una propuesta única, acompañados por una banda de primer nivel y la presencia deLucía Ruibal al baile. Sin duda, una ocasión perfecta para descubrir con los más jóvenesla fuerza poética y musicalde dos referentes de la canción iberoamericana. Este año, elGran Teatro CaixaBank Príncipe Pío, sede del festival,funciona con energía 100% renovablesuministrada por Repsol. Este avance responde al compromiso conjunto de Warner Music y CaixaBank con la sostenibilidad y el impacto cultural positivo. Así, disfrutar delCaixaBank Madrid Live Experience 2025 también es contribuir a un modelo de espectáculo más responsable. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,,"(None, None)",No especificado,
madrid,ocio,El pequeño Mozart: música clásica para niños en el teatro Lara,https://quehacerconlosninos.es/el-pequeno-mozart/,"El pequeño Mozartvuelve al Teatro Lara en la temporada 2025 con su fórmula infalible: música en directo, teatro participativo y una propuesta cultural perfecta para disfrutar con los más pequeños. Este espectáculo se ha consolidado como uno de los mejoresplanes qué hacer con niñosen Madrid si se busca un primer acercamiento a la música clásica desde el juego y la emoción. ¿Qué niño no ha escuchado hablar alguna vez de Mozart? En este concierto teatralizado, el maestro Edgar Martín se transforma enWolfi, el joven Mozart, para guiarnos a través de su vida y sus grandes composiciones con humor, anécdotas curiosas y muchas sorpresas. Durante los 70 minutos de función, el público infantil no solo aprende, también participa activamente: resuelve acertijos, escucha atentamente los sonidos del quinteto de cuerdas en directo y hasta tiene la oportunidad desubir al escenario a dirigir a los músicos como si fueran auténticos directores de orquesta. El espectáculo tiene lugar todos losdomingos a las 12:00 en la Sala Cándido Lara del emblemáticoTeatro Lara. Las entradas ya están a la venta para la nueva temporada 25/26, y se pueden adquirir directamente en la web del teatro. La obra está recomendada para niños y niñas a partir de 5 años, aunquelos menores de hasta 2 años que no ocupen butaca pueden entrar gratis, lo que lo convierte en un plan familiar accesible y completo. Este proyecto forma parte del formato educativo y divulgativo creado por Edgar Martín, conocido por su serie «Por qué es especial», que ha acercado la música clásica a miles de personas. Su sello se nota en cada detalle: cercanía, claridad, energía y un enfoque queengancha tanto a los peques como a los adultos. El resultado es una función quedivierte, emociona y educa al mismo tiempo, convirtiéndose en un plan de domingo redondo para aprender en familia y dejarse llevar por la magia del universo Mozart. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,,"(None, None)",Gratis,
madrid,ocio,Mira las estrellas con tu familia desde el Nocturnario de Madrid,https://quehacerconlosninos.es/nocturnario-de-madrid/,"¿Te imaginas una noche bajo un cielo estrellado, rodeado de naturaleza y envuelto en historias milenarias? Así es como comienza la aventura conEl Nocturnario de Madrid, una propuesta deastroturismocultural pensada para toda la familia. A solo un paso de la ciudad, pero con la inmensidad del cosmos como escenario, este plan promete sorprender a grandes y pequeños. Creado porSarai y Mario, dos apasionados de la astronomía, el arte y la historia,El Nocturnario de Madrid fusiona ciencia, cultura y naturalezaen experiencias que dejan huella. Desde 2021, organizan actividades únicas donde el cielo nocturno se convierte en protagonista y las familias pueden descubrir constelaciones, leyendas mitológicas y curiosidades astronómicas en entornos naturales espectaculares. Su proyecto no solo transmite conocimiento, también valores: respeto por la naturaleza, conciencia ecológica y admiración por la sabiduría ancestral. El Nocturnario ofrece una programación variada a lo largo del año, perfecta para quienes buscanplanes qué hacer con niñosque combinen diversión, aprendizaje y emoción. Estas son algunas de sus propuestas más destacadas: Una noche mágica bajo el cielo profundo, lejos de la contaminación lumínica, para observar galaxias, cúmulos estelares y nebulosas con telescopios profesionales. Ideal para quienes quieren vivir el asombro de mirar al universo en un entorno natural de ensueño. Bajo un cielo estrellado, los participantesdescubren las historias de los dioses y héroes que dieron nombre a las constelaciones. Una actividad para soñar despiertos, conectar con la historia y entender el cielo como lo hacían los antiguos griegos. Sí, también hay estrellas en los museos. Este recorrido especial por el Prado revela los secretos astronómicos escondidos en sus obras. Una forma diferente y muy original de aprender sobre planetas, mitos y ciencia a través del arte. Senderismo bajo la luz de la luna, acompañado de explicaciones astronómicas y telescopios. Una experiencia inmersiva para reconectar con la naturaleza y observar el firmamento desde uno de los parajes más bonitos de Madrid. Una de las propuestas estrella de El Nocturnario. Este taller combinaastronomía, ciencia y juego, con actividades para fomentar la creatividad, el pensamiento lógico y el respeto por el entorno. Ideal para compartir con hijos, sobrinos o nietos ydescubrir juntos el cielo de forma participativa. ¿Sabías cómo se observaba el cielo hace 2000 años? En esta experiencia, se utilizan réplicas de astrolabios y esferas armilares pararevivir el ingenio de las civilizaciones antiguas. Perfecto para familias con niños curiosos por la historia y la ciencia. Además de sus propuestas educativas,El Nocturnario de Madrid tiene un firme compromiso con la protección del cielo y del entorno natural. Luchan contra la contaminación lumínica y promueven la conciencia ambiental en todas sus actividades. Ver el cielo estrellado con tus hijos es más que un plan bonito: es una forma de educar en la belleza, la ciencia y la sostenibilidad. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,,"(None, None)",No especificado,
