titulo,url,contenido,fechas_contexto,fechas,Precios,edad
Underwater bubble show madrid: una aventura submarina para disfrutar en familia,https://quehacerconlosninos.es/underwater-bubble-show-madrid-una-aventura-submarina-para-disfrutar-en-familia/,"¿Buscas unespectáculo familiar en Madridque sorprenda a grandes y pequeños? ElUnderwater Bubble Show Madridllega por primera vez a la ciudad para ofrecer una experiencia única llena de magia, burbujas y criaturas marinas. Una oportunidad perfecta para sumergirse en un mundo de fantasía y disfrutar en familia. ElUnderwater Bubble Showes un espectáculo internacional que ha conquistado a más de 10 millones de espectadores en 32 países. Inspirado en clásicos comoAlicia en el País de las MaravillasyPeter Pan, sigue la historia de Mr.B, un hombre moderno que, tras un día agitado, es transportado mágicamente aBubblelandia, un mundo submarino repleto de fantasía, burbujas y criaturas sorprendentes como caballitos de mar, peces dragón, sirenas y estrellas de mar. Este espectáculo combinaefectos visuales, música envolvente, acrobacias y, por supuesto, una impresionante variedad de burbujas de todos los tamaños y colores. La puesta en escena está diseñada para estimular la imaginación y los sentidos de los espectadores, creando una atmósfera inmersiva que transporta al público al fondo del mar. Es una experiencia que deleita tanto a niños como a adultos, ofreciendo diferentes niveles de interpretación y disfrute. Los personajes deBubblelandiaestán cuidadosamente diseñados para conectar con el público de todas las edades. Desde las encantadoras sirenas hasta los juguetones peces dragón, cada criatura aporta una dimensión única al espectáculo. La escenografía, llena decolores vibrantes y efectos especiales, crea un ambiente mágico que envuelve a los espectadores y los hace sentir parte de la aventura submarina. Más allá del entretenimiento, elUnderwater Bubble Showtransmite mensajes profundos sobre la importancia de la imaginación, la desconexión del estrés diario y la reconexión con nuestro niño interior. Invita a reflexionar sobre la necesidad de detenerse, soñar y redescubrir la magia en lo cotidiano. Estos valores educativos se presentan de forma lúdica y accesible, facilitando conversaciones significativas entre padres e hijos después del espectáculo. ElUnderwater Bubble Showse presentará en Madrid elsábado 3 de mayo de 2025 a las 19:00 horasen elPalacio Vistalegre, ubicado en la Calle de Utebo, 1, 28025 Madrid, Carabanchel. Las entradas están disponibles en diferentes rangos de precios, entre 33 y 55 euros, y se pueden adquirir a través de lapágina oficial del espectáculo. Se recomienda llegar con antelación para evitar aglomeraciones y disfrutar de las actividades previas al show. Además, el recinto cuenta con accesos adaptados para personas con movilidad reducida y ofrece facilidades para familias con niños pequeños, como zonas de descanso y servicios adecuados. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.   ","{'fecha_normalizada': '2025-05-03', 'dia_semana': 'Saturday', 'mes': 'May', 'año': 2025, 'es_este_mes': False, 'es_este_fin_de_semana': False}",['3 de mayo de 2025'],No especificado,No especificado
Droneart show en Madrid: el espectáculo que hará volar tu imaginación está a punto de aterrizar,https://quehacerconlosninos.es/droneart-show-en-madrid/,"La cuenta atrás ha comenzado: en solo unos días se abrirá la lista de espera para elDroneArt Show en Madrid, un evento quepromete convertirse en uno de los planes más sorprendentes del año. Música clásica en directo, un cielo pintado con drones y miles de velas crean una atmósfera mágica que dejará boquiabiertos a pequeños y mayores. Después de arrasar en ciudades como Miami y Los Ángeles, elDroneArt Showaterriza por primera vez en España.El Hipódromo de la Zarzuela será el escenario donde se unirá lo clásico con lo futurista, en una experiencia sensorial para disfrutar en familia. Durante más de una hora,un talentoso cuarteto de cuerda interpreta obras maestras como ‘Las Cuatro Estaciones’ de Vivaldi o ‘El Lago de los Cisnes’ de Tchaikovsky, mientras más de 500 drones iluminan el cielocon coreografías visuales que acompañan cada nota. Y todo esto, rodeado demás de 10.000 velasque crean una atmósfera cálida y envolvente. ¿Puede haber un plan más especial para compartir con los niños? Si te estás preguntando qué hacer con los niños el próximo mes de mayo, esta esla experiencia perfecta para compartir en familia y sorprenderlos como nunca. ElDroneArt Show enMadrid no es solo un concierto, esun viaje sensorial que combina arte, tecnología y naturaleza. Ver cómo los drones dibujan en el cielo pájaros, cisnes, zorros o constelaciones mientras suena la música en vivo esemocionante incluso para los más pequeños, que quedarán maravillados por esta sinfonía de luz. Y lo mejor es quela experiencia está diseñada para todos los públicos a partir de 8 años, con una duración de unos 60 minutos que mantiene la atención sin cansar. Si te apetece hacer algo distinto con los niños esta primavera, este espectáculo tiene todos los ingredientes para una noche especial:música en directo, tecnología sorprendente y un entorno al aire libre lleno de encanto. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real. ",,[],No especificado,8 años
"La ruta de las torrijas, tan dulce como divertida para los niños",https://quehacerconlosninos.es/la-ruta-de-las-torrijas-2025-en-madrid/,"LaRuta de las Torrijas 2025 en Madrid llega con una propuesta irresistible para disfrutar en familia. Desde el 27 de marzo de marzo que empezó al 20 de abril, las calles de la ciudad se llenan dedeliciosas torrijas, combinando las versiones más tradicionales con las innovadoras reinterpretaciones. Este recorrido se ha convertido en unplan ideal para toda la familia, especialmente para los más pequeños, quienes disfrutarán tanto del sabor como de la experiencia de explorar nuevos lugares. LaRuta de las Torrijases una tradición madrileña que rinde homenaje a uno de los dulces más característicos de laSemana Santa. Participan más de 185 establecimientos, incluyendopastelerías,panaderíasyrestaurantes, que ofrecen torrijas elaboradas con diferentes técnicas y sabores, desde las clásicas con leche hasta las más atrevidas con miel, vino o combinaciones originales. Madrid cuenta con una amplia selección delugares idealespara saborear las mejores torrijas y disfrutar de un día de paseo en familia. Aquí te recomendamos algunos de los sitios más destacados: Con varias sedes en Madrid,Viena Capellanesofrece ungran surtido de torrijaselaboradas con su pan artesanal. Este establecimiento es ideal para familias, ya que sus locales son amplios y acogedores, perfectos para disfrutar de un delicioso dulce mientras los niños descansan y juegan. Ubicado en elbarrio de Salesas,Casa Salesases una excelente opción para los padres que buscan un lugar con estilo y ambiente relajado, mientras que los niños disfrutan de la exquisita torrija que preparan con ingredientes de calidad. Famosa por sutorrija clásica, elaborada conpan artesanaly un toque sutil de canela. Este es un lugar perfecto para disfrutar con los más pequeños, quienes también podrán ver cómo se elaboran estos dulces tradicionales. Conocida por sus productos artesanales y sucompromiso con la calidad, enPanadería Turrisencontrarás torrijas hechas con masa madre, lo que le da un toque único. ¡Ideal para los más golosos de la familia! Pastelería Formentores famosa por su repostería casera y tradicional, y este año se suma a la ruta con unas deliciosas torrijas que harán las delicias de toda la familia. La combinación de sabores tradicionales con un toque moderno es perfecta para disfrutar con los niños. En este obrador depanadería artesana, encontrarás una versión de torrija completamente diferente, elaborada conharinas ecológicasy otros ingredientes naturales que ofrecen una experiencia diferente y deliciosa para los más pequeños. Consulta el mapa completo de donde se va a hacer la ruta, en qué establecimientos y toda la información completa sobre este plan. Si buscas unplan familiar, laRuta de las Torrijases una opción fantástica. Además de disfrutar de unadeliciosa experiencia gastronómica, recorrer los diferentes establecimientos te permitirá conocer algunos de los barrios más bonitos de Madrid. Es un recorrido perfecto para caminar con los niños y disfrutar de un día en familia mientras saboreas las mejores torrijas de la ciudad. LaRuta de las Torrijas 2025 no es solo una ocasión para disfrutar de los mejores dulces tradicionales, sino también unplan ideal para hacer con niños en Madrid. Además de saborear las mejores torrijas, tendrás la oportunidad de pasear por algunos de los barrios más emblemáticos de la ciudad, disfrutar de una experiencia gastronómica en familia y conocer las mejores pastelerías y restaurantes de Madrid. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.","{'fecha_normalizada': '2025-03-27', 'dia_semana': 'Thursday', 'mes': 'March', 'año': 2025, 'es_este_mes': False, 'es_este_fin_de_semana': False}","['27 de marzo', '20 de abril']",No especificado,No especificado
"Día del niño y de la niña 2025: los museos de Cera, Thyssen, Guggenheim y  Oceanogràfic se suman a esta edición",https://quehacerconlosninos.es/dia-del-nino-y-de-la-nina-2025-cultura-juego-y-creatividad/,"El 26 de abril se celebra eldía del niño y de la niña 2025, una fecha que reconoce la importancia de los más pequeños y promueve su derecho a disfrutar del juego, la cultura y la creatividad. Museos como elThyssen-Bornemisza, elGuggenheimo elOceanogràficse suman este año conactividades únicaspara celebrar este día tan especial. Si estás buscando que hacer con los niños en esta jornada, no te pierdas todas las propuestas que llenaránplazas, teatros y espacios culturalesde toda España. Este acontecimiento, impulsado por laFundación Crecer Jugando, se celebra cada 26 de abril con el objetivo de reconocer elvalor de la infancia y dar protagonismo a los niños y niñasen todos los ámbitos de la sociedad. La celebración no solo promueve el derecho al juego, si no que también refuerza el papel de los niños como ciudadanos activos y creativos. En su edición 2025, el día del niño y de la niña contará con la participación de más de 2.000 organizaciones culturales, deportivas y educativas, y reunirá actividades para todos los gustos arte, ciencia, cuentos, teatro, música y experiencias en familia. Los museos más emblemáticos del país se han unido un año más para quelos niños y niñas disfruten del arte y la cultura de forma divertida. La jornada también estará repleta de propuestas escénicas para que los más pequeñosrían, imaginen y reflexionen. ElDía del Niño y de la Niña 2025 no se limita a las grandes ciudades. Gracias a la implicación demás de 2.000 instituciones, museos, ayuntamientos y clubes deportivos, se celebrarán eventos en toda España: desde competiciones escolares hasta ferias culturales o actividades al aire libre. Clubes como elSevilla F.C.o elUnicaja Baloncesto de Málagatambién se han sumado a la iniciativa con propuestas adaptadas a los más jóvenes, demostrando que el deporte también puede ser una vía paraeducar y celebrar la infancia. Como gran novedad de este año, se ha presentado“Imagina”, la canción compuesta porCarlota Mad, una artista madrileña que ha creado un himno lleno de sensibilidad e inspiración. La melodía invita a los niños asoñar con ser lo que quieran, y será parte de muchos de los eventos del fin de semana. La Fundación Crecer Jugando, en colaboración conAIJU y varios hospitales de referencia en España, presentará durante esa semana un estudio sobre elimpacto del uso excesivo de pantallas en la salud infantil. Los resultados pretenden ofrecer recomendaciones prácticas para familias y educadores. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real. ","{'fecha_normalizada': '2025-04-26', 'dia_semana': 'Saturday', 'mes': 'April', 'año': 2025, 'es_este_mes': True, 'es_este_fin_de_semana': False}","['26 de abril', '26 de abril']",No especificado,No especificado
Los Mundos de Alicia en CaixaForum Madrid gratis para menores de 16 años,https://quehacerconlosninos.es/los-mundos-de-alicia-caixaforum-madrid/,"¿Te imaginas explorar un mundo donde el tiempo se diluye, los espejos ocultan secretos y todo parece posible? La exposiciónLos mundos de Alicia CaixaForum Madridconvierte esta fantasía en realidad con una propuesta artística, visual y sensorial que conquista a grandes y pequeños. Es un plan ideal si buscasplanes para niños en Madridque mezclen arte, juego y curiosidad en familia. La muestra se inspira libremente en la icónica obraAlicia en el país de las maravillaspara crear una experiencia única. Aquílos niños pueden recorrer pasillos de espejos, atravesar túneles de luz, escuchar susurros extrañoso moverse entre instalaciones que cambian de forma y color. Cada sala sorprende conjuegos ópticos, esculturas interactivas y ambientaciones envolventes, que estimulan los sentidos mientras invitan a interpretar un universo onírico y poético. Lejos de ser una simple exposición, esta propuesta de CaixaForum se convierte en un viaje emocional.Los mundos de Aliciarecorre temas como el paso del tiempo, la identidad, los sueños o el absurdo, y lo hace a través de obras de artistas contemporáneos como Yayoi Kusama, Tony Oursler o Luis Gordillo. Todo está pensado para que los visitantes, sobre todo los más pequeños,conecten con su imaginación, experimenten libremente y saquen sus propias interpretaciones. Desde el primer paso, los más pequeños sienten que entran en otro mundo.Las luces cambian, los objetos se mueven, las paredes hablan.El recorrido se convierte en un juego, donde pueden explorar sin miedo, experimentar con los sentidos y hacerse preguntas. Además,muchas de las instalaciones invitan al movimiento, al tacto y a la sorpresa, lo que favorece el aprendizaje a través de la experiencia. La estética surrealista de la exposición estimula la creatividad de forma natural. Para los niños,cada sala es como una escena de cuento que pueden habitar, con elementos que despiertan curiosidad, preguntas y reflexiones. Es una oportunidad excelente paradesarrollar la imaginación, el pensamiento abstracto y la sensibilidad artística, en un entorno seguro, accesible y muy bien diseñado para familias. La exposiciónLos mundos de Alicia CaixaForum Madridya está abierta y permanecerá hasta el 3 de agosto de 2025. Puedes visitarla de lunes a domingo, de 10:00 a 20:00. Las entradas tienen un precio de 6 €, aunque el acceso esgratuito para menores de 16 años, miembros de CaixaBank y clientes de determinados programas educativos. CaixaForum Madrid está ubicado en el Paseo del Prado, 36. Además elviernes 30 de mayo esta exposición será gratispara todo el público con motivo de laNoche de Alicia. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.   ","{'fecha_normalizada': '2025-08-03', 'dia_semana': 'Sunday', 'mes': 'August', 'año': 2025, 'es_este_mes': False, 'es_este_fin_de_semana': False}","['3 de agosto de 2025', '30 de mayo']",Gratis,No especificado
Las mejores rutas de senderismo fáciles cerca de Madrid para hacer en familia,https://quehacerconlosninos.es/descubre-las-rutas-perfectas-de-madrid-para-iniciar-a-los-mas-peques-en-el-senderismo/,"Salir a caminar en plena naturaleza es uno de losplanes más completos y saludables para hacer con niños. En esta guía reunimos algunas de lasmejores rutas de senderismo fáciles cerca de Madrid, perfectas para disfrutar en familia en cualquier época del año: caminos con historia, orillas tranquilas, lagunas pintorescas y paisajes que encantan tanto a peques como a mayores. Todas las propuestas están pensadas para ser accesibles, seguras y con la dosis justa de aventura. Así que si buscasqué hacer con los niñosfuera del entorno urbano, estas escapadas al aire libre son un gran punto de partida. Esta ruta de 6,5 kmy unas dos horas de duración parte desde el encantador pueblo de Horcajuelo de la Sierra. El recorrido sube suavemente por senderos arbolados hasta llegar alas antiguas minas de plata, situadas a 1.500 metros de altitud. Durante el paseo se pueden verescombreras, antiguas construcciones de piedra y la bocamina excavada en roca, testigos del pasado minero de la zona. Aunque no se recomienda entrar en las minas, el entorno invita a imaginar cómo era la vida en aquellos tiempos. El regreso se hace por un sendero circular que permite disfrutar del paisaje desde otra perspectiva. Una opción ideal parafamilias que quieran combinar naturaleza e historiaen un entorno tranquilo y poco masificado. A pocos minutos de Madrid capital, esta ruta de 7,6 kmes perfecta para quienes buscan un plan familiar sin grandes desplazamientos. Comienza en el aparcamiento de Somontes, en el Monte de El Pardo, y recorre la orilla del río Manzanares por senderos cómodos y bien señalizados. Una de sus ventajas es que incluye unazona de recreo con columpios, fuente y mesas de picnic, ideal para hacer una parada a mitad del camino. Además, el entorno fluvial favorece la observación de fauna y es muy agradecido para los más pequeños. Una propuesta sencilla y muy agradecida parapasar un día activo en familia. ElCamino Schmidtes una de las rutas más conocidas de la Sierra de Guadarrama, con origen en el Puerto de Navacerrada. Aunque tiene tramos con pendiente, esperfectamente asequible para familias con niños acostumbrados a caminar. La ruta atraviesa zonas de pinares y ofrece vistas espectaculares. A lo largo de los aproximadamente 7 km, se pasa por lugares emblemáticos como Collado Ventoso o la fuente de Antón Ruiz de Velasco. El camino está bien señalizado, y es habitual cruzarse con senderistas y familias. Ideal para quienes buscan unaexperiencia más montañera sin complicarse demasiado. Esta ruta circular comienza en el mirador al final de Navalagamella, muy cerca de Madrid. Es un itinerario de unas 2,5 horasque sigue el curso del río Perales, pasando porrestos de antiguos molinos, una casa fortificada y un puente medieval. El camino incluye tramos estrechos y divertidos, perfectos para que los niños se sientan pequeños exploradores. Además, al ser circular,no hay que repetir recorrido, lo que hace más entretenida la experiencia para toda la familia. Una opción excelente para quienes buscanrutas con contenido cultural y naturalal mismo tiempo. A tan solo 20 minutos del centro de Madrid, laLaguna del Campilloes una de las rutas más completas para iniciarse en el senderismo con niños pequeños. El itinerario es ancho, llano y de baja dificultad, ideal para hacer también en bicicleta. Durante el recorrido de unos 6,5 km, se bordea la laguna, con vistas a los cortados de Rivas y al pinar que la rodea. El punto final es elCentro de Educación Ambiental del Campillo, donde se puede aprender más sobre la fauna y flora de la zona. Un plan redondo paracombinar actividad física y aprendizaje en familia. Si buscas más ideas sobreplanes con niños cerca de Madrid, en QHN tenemos muchas propuestas para explorar, jugar, aprender y desconectar del día a día. Desde parques hasta museos y escapadas de fin de semana, te contamos todo lo que necesitas para pasarlo genial en familia. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,[],No especificado,No especificado
Teatro Maravillas de Madrid: cultura y diversión para toda la familia con obras como Peter Pan,https://quehacerconlosninos.es/teatro-maravillas-de-madrid-peter-pan/,"El teatro maravillas de Madrid, ubicado en el animado barrio de Malasaña, es mucho más que un escenario. Es un lugar cargado de historia, de anécdotas teatrales, y hoy en día, un referente de losplanes con niños en Madridgracias a su cuidada programación familiar. En su cartelera destacan espectáculos comoPeter Pan,Las Aventuras de Coco y PepeoLa vuelta al mundo en 80 días, el musical, que conquistan a grandes y pequeños por igual. Este emblemático espacio forma parte del proyectoTeatros Verdes Iberdrola, una iniciativa que apoya a 16 teatros madrileños para fortalecer la visibilidad de la cultura en la ciudad. Gracias al impulso de Iberdrola y el teatro Maravillas se reafirma como unfaro de inspiración y sostenibilidad, conectado con su comunidad y comprometido con el futuro. Su historia se remonta a 1887, cuando nació como un teatro veraniego desmontable. Desde entonces, ha resistido guerras, atentados, reformas y renacimientos, manteniendo siempre viva su esencia artística. Reabrió sus puertas en 2005 tras una profunda remodelación, y hoy, bajo la gestión de Pedro Larrañaga, vuelve a ser un punto de encuentro imprescindible para los amantes del teatro y las familias que buscan planes culturales con niños. Con nueve temporadas a sus espaldas,Peter Pan, el musicalsigue volando alto en el teatro Maravillas. En esta nueva entrega, la magia se renueva con personajes como‘Sombra‘, nuevas canciones como‘El rap de los niños perdidos‘ o‘Y vuelta a empezar‘, y un elenco dediez artistas que dan vida a casi veinte personajesen una producción que combina música en directo, acrobacias aéreas y mucha emoción. Ideal para niños a partir de 3 años, este espectáculo familiar transmite valores como la imaginación, el coraje y el poder de soñar. Como bien dijo Mark Twain:“Peter Pan es un gran regalo que eleva al espectador a un lugar extraordinario lleno de aventuras y magia.” Además dePeter Pan, el teatro Maravillas ofrece otros espectáculos pensados para todos los públicos: Todas las funcionescuentan con descuentos y entradas desde 16,00 €(sin incluir comisión). La compra online es rápida y sencilla, y suele haber cupones limitados para conseguir el mejor precio. El teatro Maravillas es también un espacio cómodo para ir con niños: tieneacceso adaptado, buena visibilidad desde cualquier butacay una ubicación perfecta para combinar con un paseo o una merienda por Malasaña. En sus tablas han actuado grandes nombres como Sarah Bernhardt, Faemino y Cansado, Miriam Díaz-Aroca, Gabino Diego o María Barranco, entre muchos otros. Hoy, son los niños quienes lo llenan de risas cada fin de semana. Ir al teatro en familia es más que una salida de ocio: es una forma de educar en valores, fomentar la creatividad y vivir momentos únicos juntos. El teatro Maravillas ofrece precisamente eso: una experiencia enriquecedora que se adapta a todas las edades. Por eso, si estás buscando nuevosplanes con niños en Madrid, el teatro Maravillas es una opción redonda. Y con propuestas tan atractivas comoPeter PanoLa vuelta al mundo en 80 días, el éxito está asegurado. Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real. ",,[],"16,00€",3 años
Más de 200 actividades en la guía de turismo familiar presentada por la Comunidad de Madrid,https://quehacerconlosninos.es/mas-de-200-actividades-en-la-guia-de-turismo-familiar-presentada-por-la-comunidad-de-madrid/,"Laguía turismo familiar de la Comunidad de Madridya está disponible y llega repleta de propuestas pensadas para familias con ganas de explorar y disfrutar. Con hasta 200 planes adaptados a todos los gustos, esta nueva publicación recoge lo mejor del patrimonio cultural, natural y gastronómico de la región en un formato práctico y accesible. El documento fue presentado por el consejero de Cultura, Turismo y Deporte, Mariano de Paco Serrano, durante una visita alParque Warnerde San Martín de la Vega, uno de los espacios destacados en esta iniciativa que tiene como objetivo principalfomentar los planes con niñosdurante todo el año. Laguía turismo familiar Comunidad de Madridreúne actividades tanto en la capital, como en rincones con gran encanto familiar. Incluye planes en: La guía propone desdevisitas a castillos, palacios y museos, hasta planes en parques temáticos, espectáculos musicales y escapadas rurales con sabor madrileño. Todo ello con una selección de espacios aptos para familias y con recomendaciones que permiten disfrutar a todas las edades. Con esta guía, el Gobierno de la Comunidad de Madrid buscafacilitar tiempo de calidad en familiaa través de propuestas que combinanaprendizaje, entretenimiento y cercanía. También se incluyen sugerencias para saborear la cocina local, como la repostería tradicional madrileña, que puede disfrutarse en muchos de los destinos. Además, la publicación está disponible enespañol e inglés, lo que la convierte en una herramienta ideal tanto para madrileños como para visitantes que buscan ideas diferentes deplanes con niños. El contenido completo de laguía turismo familiar Comunidad de Madridse puede consultar de forma gratuita en laweb oficial de turismo. Una herramienta ideal para tener siempre a mano y descubrir todo lo que esta comunidad tiene para ofrecer en cualquier época del año. Sigue el canal deQue Hacer con los Niños en WhatsApp.",,[],No especificado,No especificado
Planetario de Madrid con niños: exposiciones y proyecciones,https://quehacerconlosninos.es/planetario-de-madrid-con-ninos-exposiciones-proyecciones/,"¡Atención familias! Si estáis buscandoqué hacer con los niñosy queréis encontrar un plan educativo y divertido, elPlanetario de Madridcon niños es una opción perfecta, tiene una oferta deexposiciones y proyecciones infantilesque no os podéis perder. Desde aventuras espaciales hasta exploraciones lunares, hay actividades diseñadas especialmente para despertar la curiosidad de los más pequeños.​ Esta exposición muestra laevolución de los planetariosa lo largo del tiempo, permitiendo a los niños comprender cómo se han representado las estrellas y constelaciones en diferentes épocas. ​ Aquí, los pequeños podrán admirar impresionantesimágenes astronómicasen gran formato, capturadas por el astrofotógrafo Rogelio Bernal Andreo. Una oportunidad única para apreciar la belleza del universo. ​ Esta muestra acerca a los visitantes a las contribuciones de laAgencia Espacial Europeaal progreso humano, destacandomisiones y descubrimientosque han ampliado nuestro conocimiento del cosmos. ​ Dirigida a niñoshasta los 6 años, esta proyección de 35 minutos presenta a Cloe, una profesora que guía a los pequeños en unviaje por el cielo nocturno, enseñándoles sobre el Sol, la Luna, las estrellas y los planetas de manera amena y educativa. ​ Recomendada para niñosa partir de 6 años, esta sesión de 31 minutos sigue las aventuras del hámster Elon en su sueño deconvertirse en astronauta. Una historia inspiradora que combina ciencia y diversión. ​ Tambiénpara mayores de 6 años, esta proyección de 30 minutos narra la historia de James, un pingüino turista, y Vladimir, un oso polar, quienes investigan elmisterio de la noche polara bordo de un submarino espacial. ​ El Planetario abrede martes a domingoen dos franjas horarias: de 10:00 a 13:45 y de 17:00 a 19:45. Lasproyecciones infantiles se programan los sábados, domingos y festivosa las 11:00, 12:00 y 13:00. ​ Las tarifas para las proyecciones son:​ Compra de entradas:Las entradas para el Planetario de Madrid pueden adquirirse en taquilla o directamente desde su página web. Puedescomprar entradas en la web oficial del Planetariopara asegurar tu plaza, ya que el aforo es limitado. Acceso a la sala de proyección:Una vez iniciada la proyección, no se permite el acceso, por lo que es importante ser puntuales.​ Exposiciones gratuitas:El acceso a las exposiciones es gratuito y puede realizarse durante el horario de apertura del centro.​ Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,[],No especificado,6 años
Planetario de Madrid con niños: exposiciones y proyecciones,https://quehacerconlosninos.es/planetario-de-madrid-con-ninos-exposiciones-proyecciones/,"¡Atención familias! Si estáis buscandoqué hacer con los niñosy queréis encontrar un plan educativo y divertido, elPlanetario de Madridcon niños es una opción perfecta, tiene una oferta deexposiciones y proyecciones infantilesque no os podéis perder. Desde aventuras espaciales hasta exploraciones lunares, hay actividades diseñadas especialmente para despertar la curiosidad de los más pequeños.​ Esta exposición muestra laevolución de los planetariosa lo largo del tiempo, permitiendo a los niños comprender cómo se han representado las estrellas y constelaciones en diferentes épocas. ​ Aquí, los pequeños podrán admirar impresionantesimágenes astronómicasen gran formato, capturadas por el astrofotógrafo Rogelio Bernal Andreo. Una oportunidad única para apreciar la belleza del universo. ​ Esta muestra acerca a los visitantes a las contribuciones de laAgencia Espacial Europeaal progreso humano, destacandomisiones y descubrimientosque han ampliado nuestro conocimiento del cosmos. ​ Dirigida a niñoshasta los 6 años, esta proyección de 35 minutos presenta a Cloe, una profesora que guía a los pequeños en unviaje por el cielo nocturno, enseñándoles sobre el Sol, la Luna, las estrellas y los planetas de manera amena y educativa. ​ Recomendada para niñosa partir de 6 años, esta sesión de 31 minutos sigue las aventuras del hámster Elon en su sueño deconvertirse en astronauta. Una historia inspiradora que combina ciencia y diversión. ​ Tambiénpara mayores de 6 años, esta proyección de 30 minutos narra la historia de James, un pingüino turista, y Vladimir, un oso polar, quienes investigan elmisterio de la noche polara bordo de un submarino espacial. ​ El Planetario abrede martes a domingoen dos franjas horarias: de 10:00 a 13:45 y de 17:00 a 19:45. Lasproyecciones infantiles se programan los sábados, domingos y festivosa las 11:00, 12:00 y 13:00. ​ Las tarifas para las proyecciones son:​ Compra de entradas:Las entradas para el Planetario de Madrid pueden adquirirse en taquilla o directamente desde su página web. Puedescomprar entradas en la web oficial del Planetariopara asegurar tu plaza, ya que el aforo es limitado. Acceso a la sala de proyección:Una vez iniciada la proyección, no se permite el acceso, por lo que es importante ser puntuales.​ Exposiciones gratuitas:El acceso a las exposiciones es gratuito y puede realizarse durante el horario de apertura del centro.​ Síguenos en nuestrocanal de WhatsApppara recibir más planes y noticias en tiempo real.",,[],No especificado,6 años
